GroupedThematicPathTitles,ThematicPath,GroupedCulturalResourceTitle,CulturalResourcURI,GroupedCulturalResourceType,CulturalResourceTypeURI
Anatomy (en),https://w3id.org/ctp/ncf#Anatomy_tp,Dei moti dell'iride (it),https://w3id.org/ctp/ncf#Dei_moti_dell_iride,Book (en),http://vocab.getty.edu/aat/300028051
Anatomy (en),https://w3id.org/ctp/ncf#Anatomy_tp,Fabbroni 16: Reale Museo di fisica e storia naturale: modelli anatomici. [1770]–1801 (it),https://w3id.org/ctp/ncf#Fabbroni_16_Reale_Museo_di_fisica_e_storia_naturale_modelli_anatomici_1770,Serie (en),http://vocab.getty.edu/aat/300027349
Novum Corpus Fontanianum (la),https://w3id.org/ctp/ncf#Novum_Corpus_Fontanianum,Dei moti dell'iride (it),https://w3id.org/ctp/ncf#Dei_moti_dell_iride,Book (en),http://vocab.getty.edu/aat/300028051
Novum Corpus Fontanianum (la),https://w3id.org/ctp/ncf#Novum_Corpus_Fontanianum,Double barometer (en) | Barometro doppio (it),https://w3id.org/ctp/ncf#Double_barometer,Barometer (en),http://vocab.getty.edu/aat/300195808
Novum Corpus Fontanianum (la),https://w3id.org/ctp/ncf#Novum_Corpus_Fontanianum,Fabbroni 16: Reale Museo di fisica e storia naturale: modelli anatomici. [1770]–1801 (it),https://w3id.org/ctp/ncf#Fabbroni_16_Reale_Museo_di_fisica_e_storia_naturale_modelli_anatomici_1770,Serie (en),http://vocab.getty.edu/aat/300027349
Novum Corpus Fontanianum (la),https://w3id.org/ctp/ncf#Novum_Corpus_Fontanianum,"Lettera di Felice Fontana a Leopoldo Marcantonio Caldani, febbraio–marzo 1772 (it)","https://w3id.org/ctp/ncf#Lettera_di_Fontana_a_Caldani,_febbraio-marzo1772",Letter (en),http://vocab.getty.edu/aat/300026879
Novum Corpus Fontanianum (la),https://w3id.org/ctp/ncf#Novum_Corpus_Fontanianum,Lettre de M. l'Abbé Fontana à M. le Duc de Chaulnes (fr),https://w3id.org/ctp/ncf#lettre_e_M._l_Abbé_Fontana_à_M._le_Duc_de_Chaulnes,Article (en),http://vocab.getty.edu/aat/300048715
La strada per Santiago de Compostela (it) | Road to Santiago de Compostela (en),https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela,Catedral de Santiago de Compostela (es) | Cattedrale di Santiago de Compostela (it) | Santiago de Compostela Cathedral (en),https://w3id.org/ctp/santiagodecompostela#Catedral_de_Santiago_de_Compostela,Architectural heritage (en),http://vocab.getty.edu/aat/300417850
La strada per Santiago de Compostela (it) | Road to Santiago de Compostela (en),https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela,Church of the Holy Cross (en) | Chiesa di Santa Croce (it),https://w3id.org/ctp/santiagodecompostela#Church_of_the_Holy_Cross,Architectural heritage (en),http://vocab.getty.edu/aat/300417850
La strada per Santiago de Compostela (it) | Road to Santiago de Compostela (en),https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela,Chiesa di San Salvador de Vilar de Donas (it) | Church of San Salvador de Vilar de Donas (en) | Iglesia de San Salvador de Vilar de Donas (es),https://w3id.org/ctp/santiagodecompostela#Iglesia_de_San_Salvador_de_Vilar_de_Donas,Architectural heritage (en),http://vocab.getty.edu/aat/300417850
La strada per Santiago de Compostela (it) | Road to Santiago de Compostela (en),https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela,Strada Nuova (it) | Via Giuseppe Garibaldi (it),https://w3id.org/ctp/santiagodecompostela#Strada_Nuova,Architectural heritage (en),http://vocab.getty.edu/aat/300417850
Sezione Lavoro (it) | Work section (en),https://w3id.org/ctp/transitions#Work_section,"Bianco Rosso e Verde, n. 3, 1915 (it)","https://w3id.org/ctp/transitions#Bianco_Rosso_e_Verde,_n._3,_1915",Periodical (en),http://vocab.getty.edu/aat/300026657
Sezione Lavoro (it) | Work section (en),https://w3id.org/ctp/transitions#Work_section,Luigi Ansaldo e due donne non identificate (it),https://w3id.org/ctp/transitions#Luigi_Ansaldo_e_due_donne_non_identificate,Photograph (en),http://vocab.getty.edu/aat/300046300
Sezione Lavoro (it) | Work section (en),https://w3id.org/ctp/transitions#Work_section,Repetto Mariadiva (it),https://w3id.org/ctp/transitions#Repetto_Mariadiva,Oral history (en),http://vocab.getty.edu/aat/300054402
