CulturalResource,label1,label2,PathCount
https://w3id.org/ctp/transitions#Luigi_Ansaldo_e_due_donne_non_identificate,Luigi Ansaldo e due donne non identificate | Luigi Ansaldo e due donne non identificate,https://w3id.org/ctp/transitions#Work_section | https://w3id.org/ctp/transitions#Work_section,2
https://w3id.org/ctp/santiagodecompostela#Iglesia_de_San_Salvador_de_Vilar_de_Donas,Iglesia de San Salvador de Vilar de Donas | Iglesia de San Salvador de Vilar de Donas | Church of San Salvador de Vilar de Donas | Church of San Salvador de Vilar de Donas | Chiesa di San Salvador de Vilar de Donas | Chiesa di San Salvador de Vilar de Donas,https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela,6
https://w3id.org/ctp/transitions#Repetto_Mariadiva,Repetto Mariadiva | Repetto Mariadiva,https://w3id.org/ctp/transitions#Work_section | https://w3id.org/ctp/transitions#Work_section,2
https://w3id.org/ctp/ncf#Double_barometer,Double barometer | Barometro doppio,https://w3id.org/ctp/ncf#Novum_Corpus_Fontanianum | https://w3id.org/ctp/ncf#Novum_Corpus_Fontanianum,2
https://w3id.org/ctp/santiagodecompostela#Strada_Nuova,Via Giuseppe Garibaldi | Via Giuseppe Garibaldi | Strada Nuova | Strada Nuova,https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela,4
https://w3id.org/ctp/santiagodecompostela#Church_of_the_Holy_Cross,Church of the Holy Cross | Church of the Holy Cross | Chiesa di Santa Croce | Chiesa di Santa Croce,https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela,4
"https://w3id.org/ctp/transitions#Bianco_Rosso_e_Verde,_n._3,_1915","Bianco Rosso e Verde, n. 3, 1915 | Bianco Rosso e Verde, n. 3, 1915",https://w3id.org/ctp/transitions#Work_section | https://w3id.org/ctp/transitions#Work_section,2
https://w3id.org/ctp/ncf#Fabbroni_16_Reale_Museo_di_fisica_e_storia_naturale_modelli_anatomici_1770,Fabbroni 16: Reale Museo di fisica e storia naturale: modelli anatomici. [1770]–1801 | Fabbroni 16: Reale Museo di fisica e storia naturale: modelli anatomici. [1770]–1801,https://w3id.org/ctp/ncf#Anatomy_tp | https://w3id.org/ctp/ncf#Novum_Corpus_Fontanianum,2
https://w3id.org/ctp/santiagodecompostela#Catedral_de_Santiago_de_Compostela,Catedral de Santiago de Compostela | Catedral de Santiago de Compostela | Santiago de Compostela Cathedral | Santiago de Compostela Cathedral | Cattedrale di Santiago de Compostela | Cattedrale di Santiago de Compostela,https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela | https://w3id.org/ctp/santiagodecompostela#Road_to_Santiago_de_Compostela,6
https://w3id.org/ctp/ncf#Dei_moti_dell_iride,Dei moti dell'iride | Dei moti dell'iride,https://w3id.org/ctp/ncf#Anatomy_tp | https://w3id.org/ctp/ncf#Novum_Corpus_Fontanianum,2
